iterations,exploration,score
100,3,29
100,3,35
100,3,29
100,3,39
100,3,36
100,3,35
100,3,28
100,3,35
100,3,42
100,3,33
100,4,36
100,4,30
100,4,34
100,4,37
100,4,44
100,4,27
100,4,41
100,4,35
100,4,36
100,4,39
100,5,42
100,5,27
100,5,47
100,5,41
100,5,38
100,5,42
100,5,39
100,5,32
100,5,39
100,5,37
100,6,33
100,6,31
100,6,34
100,6,38
100,6,39
100,6,36
100,6,39
100,6,31
100,6,37
100,6,41
1000,0.001,42
1000,0.001,47
1000,0.001,44
1000,0.001,51
1000,0.001,49
1000,0.001,43
1000,0.001,48
1000,0.001,44
1000,0.001,46
1000,0.001,39
1000,0.01,44
1000,0.01,50
1000,0.01,42
1000,0.01,45
1000,0.01,54
1000,0.01,47
1000,0.01,44
1000,0.01,48
1000,0.01,51
1000,0.01,43
1000,0.01,48
1000,0.01,49
1000,0.01,43
1000,0.01,42
1000,0.01,54
1000,0.01,54
1000,0.01,46
1000,0.01,48
1000,0.01,42
1000,0.01,45
1000,0.15,55
1000,0.15,50
1000,0.15,46
1000,0.15,58
1000,0.15,50
1000,0.15,48
1000,0.15,51
1000,0.15,45
1000,0.15,43
1000,0.15,41
1000,0.2,44
1000,0.2,44
1000,0.2,52
1000,0.2,51
1000,0.2,39
1000,0.2,39
1000,0.2,50
1000,0.2,52
1000,0.2,53
1000,0.2,45
1000,0.25,49
1000,0.25,49
1000,0.25,41
1000,0.25,47
1000,0.25,38
1000,0.25,49
1000,0.25,46
1000,0.25,44
1000,0.25,46
1000,0.25,52
1000,0.35,46
1000,0.35,53
1000,0.35,44
1000,0.35,52
